season,team,matches_played,wins,losses,win_pct
2017,Royal Challengers Bangalore,13,3,10,23.076923076923077
2017,Mumbai Indians,17,12,5,70.58823529411765
2017,Kolkata Knight Riders,16,9,7,56.25
2017,Delhi Daredevils,14,6,8,42.857142857142854
2018,Mumbai Indians,14,6,8,42.857142857142854
2018,Delhi Daredevils,14,5,9,35.714285714285715
2018,Royal Challengers Bangalore,14,6,8,42.857142857142854
2018,Rajasthan Royals,15,7,8,46.666666666666664
2018,Kolkata Knight Riders,16,9,7,56.25
2018,Kings XI Punjab,14,6,8,42.857142857142854
2018,Chennai Super Kings,16,11,5,68.75
2018,Sunrisers Hyderabad,17,10,7,58.82352941176471
2019,Royal Challengers Bangalore,14,5,9,35.714285714285715
2019,Sunrisers Hyderabad,15,6,9,40.0
2019,Delhi Capitals,16,10,6,62.5
2019,Kings XI Punjab,14,6,8,42.857142857142854
2019,Kolkata Knight Riders,14,6,8,42.857142857142854
2019,Mumbai Indians,16,11,5,68.75
2019,Rajasthan Royals,14,5,9,35.714285714285715
2019,Chennai Super Kings,17,10,7,58.82352941176471
2020/21,Mumbai Indians,16,11,5,68.75
2020/21,Delhi Capitals,17,9,8,52.94117647058824
2020/21,Royal Challengers Bangalore,15,7,8,46.666666666666664
2020/21,Rajasthan Royals,14,6,8,42.857142857142854
2020/21,Kings XI Punjab,14,6,8,42.857142857142854
2020/21,Sunrisers Hyderabad,16,8,8,50.0
2020/21,Kolkata Knight Riders,14,7,7,50.0
2020/21,Chennai Super Kings,14,6,8,42.857142857142854
2021,Mumbai Indians,14,7,7,50.0
2021,Chennai Super Kings,16,11,5,68.75
2021,Kolkata Knight Riders,17,9,8,52.94117647058824
2021,Punjab Kings,14,6,8,42.857142857142854
2021,Royal Challengers Bangalore,15,9,6,60.0
2021,Delhi Capitals,16,10,6,62.5
2021,Rajasthan Royals,14,5,9,35.714285714285715
2021,Sunrisers Hyderabad,14,3,11,21.428571428571427
2022,Chennai Super Kings,14,4,10,28.57142857142857
2022,Mumbai Indians,14,4,10,28.57142857142857
2022,Royal Challengers Bangalore,16,9,7,56.25
2022,Lucknow Super Giants,15,9,6,60.0
2022,Rajasthan Royals,17,10,7,58.82352941176471
2022,Kolkata Knight Riders,14,6,8,42.857142857142854
2022,Punjab Kings,14,7,7,50.0
2022,Gujarat Titans,16,12,4,75.0
2022,Delhi Capitals,14,7,7,50.0
2022,Sunrisers Hyderabad,14,6,8,42.857142857142854
2023,Chennai Super Kings,16,10,6,62.5
2023,Punjab Kings,14,6,8,42.857142857142854
2023,Lucknow Super Giants,15,8,7,53.333333333333336
2023,Rajasthan Royals,14,7,7,50.0
2023,Mumbai Indians,16,9,7,56.25
2023,Delhi Capitals,14,5,9,35.714285714285715
2023,Kolkata Knight Riders,14,6,8,42.857142857142854
2023,Sunrisers Hyderabad,14,4,10,28.57142857142857
2023,Gujarat Titans,17,11,6,64.70588235294117
2023,Royal Challengers Bangalore,14,7,7,50.0
2024,Royal Challengers Bengaluru,15,7,8,46.666666666666664
2024,Delhi Capitals,14,7,7,50.0
2024,Kolkata Knight Riders,14,11,3,78.57142857142857
2024,Rajasthan Royals,15,9,6,60.0
2024,Gujarat Titans,12,5,7,41.66666666666667
2024,Punjab Kings,14,5,9,35.714285714285715
2024,Chennai Super Kings,14,7,7,50.0
2024,Sunrisers Hyderabad,16,9,7,56.25
2024,Lucknow Super Giants,14,7,7,50.0
2024,Mumbai Indians,14,4,10,28.57142857142857
